Country Name,Country Code,Year,GDP
Africa Eastern and Southern,AFE,1960,21216962290.0
Africa Western and Central,AFW,1960,11884128412.0
Australia,AUS,1960,18606562977.0
Austria,AUT,1960,6650133915.0
Burundi,BDI,1960,195999990.0
Belgium,BEL,1960,11810619368.0
Benin,BEN,1960,226195578.4
Burkina Faso,BFA,1960,330442815.8
Bangladesh,BGD,1960,4274894083.0
"Bahamas, The",BHS,1960,169803921.6
Belize,BLZ,1960,28072478.07
Bermuda,BMU,1960,84466652.59
Bolivia,BOL,1960,373250000.0
Barbados,BRB,1960,80021380.29
Botswana,BWA,1960,30411413.66
Central African Republic,CAF,1960,112155598.5
Canada,CAN,1960,40563768947.0
Switzerland,CHE,1960,10412232621.0
Chile,CHL,1960,4110000000.0
China,CHN,1960,59716249311.0
Cote d'Ivoire,CIV,1960,546203559.3
Cameroon,CMR,1960,614206068.5
"Congo, Rep.",COG,1960,131731862.8
Colombia,COL,1960,4031152977.0
Costa Rica,CRI,1960,507513830.0
Caribbean small states,CSS,1960,641539200.0
Germany,DEU,1960,84310950194.0
Denmark,DNK,1960,6361166313.0
Dominican Republic,DOM,1960,672399700.0
Algeria,DZA,1960,2723615451.0
East Asia & Pacific (excluding high income),EAP,1960,80767959484.0
Early-demographic dividend,EAR,1960,132000000000.0
East Asia & Pacific,EAS,1960,157000000000.0
Europe & Central Asia,ECS,1960,426000000000.0
Ecuador,ECU,1960,2069464937.0
Euro area,EMU,1960,252000000000.0
Spain,ESP,1960,12433394725.0
Ethiopia,ETH,1960,1610511694.0
European Union,EUU,1960,285000000000.0
Fragile and conflict affected situations,FCS,1960,30738244855.0
Finland,FIN,1960,5279011362.0
Fiji,FJI,1960,112328422.1
France,FRA,1960,62225478001.0
Gabon,GAB,1960,141468977.8
United Kingdom,GBR,1960,73233967692.0
Ghana,GHA,1960,1223943662.0
Greece,GRC,1960,4335191696.0
Guatemala,GTM,1960,1043599900.0
Guyana,GUY,1960,170216241.1
High income,HIC,1960,1090000000000.0
"Hong Kong SAR, China",HKG,1960,1320796652.0
Honduras,HND,1960,335650000.0
Heavily indebted poor countries (HIPC),HPC,1960,19354196920.0
Haiti,HTI,1960,273187200.0
IBRD only,IBD,1960,327000000000.0
IDA & IBRD total,IBT,1960,369000000000.0
IDA total,IDA,1960,41098321653.0
IDA blend,IDB,1960,12304340519.0
IDA only,IDX,1960,29673639827.0
India,IND,1960,37029883876.0
Ireland,IRL,1960,1998550222.0
"Iran, Islamic Rep.",IRN,1960,4199134390.0
Iraq,IRQ,1960,1537252192.0
Iceland,ISL,1960,252169712.0
Israel,ISR,1960,3052993636.0
