Entity,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228796000.0,7867263500.0,7978515500.0,8874481000.0,9349922000.0,10642672000.0,11060395000.0,13426272000.0,15354613000.0,15420078000.0,17386490000.0,18360263000.0,18860497000.0,19134222000.0,19566715000.0,20084646000.0,20323500000.0,21118474000.0,20621957000.0,16345203000.0,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,4650626600.0,4917834000.0,5062841300.0,5118783000.0,5054716400.0,5144723000.0,5434743300.0,5391926300.0,5315358700.0,5838206500.0,5279161000.0,3800882700.0,3527709200.0,3864937200.0,4185837800.0,4743489000.0,5175146500.0,4610021400.0,5017060000.0,5663799300.0,6057219000.0,6559563000.0,6857139000.0,7236245500.0,7635300400.0,8057259500.0,8532852000.0,9043395000.0,9721653000.0,10047745000.0,10420209000.0,10685446000.0,10836884000.0,10945471000.0,11139694000.0,11386853000.0,11764325000.0,12211675000.0,12702505000.0,12967696000.0,12539492000.0,13656576000.0,14319795000.0
Algeria,DZA,23999015000.0,20733843000.0,16652377000.0,22366430000.0,23672498000.0,25141826000.0,23933768000.0,26196218000.0,29024424000.0,31472134000.0,34261402000.0,30378996000.0,38710125000.0,40186210000.0,43198132000.0,45377626000.0,49183334000.0,51769684000.0,56540176000.0,60768150000.0,61248590000.0,63086043000.0,67123552000.0,70748226000.0,74710120000.0,77474400000.0,77784290000.0,77239810000.0,76467405000.0,79831970000.0,80470630000.0,79504980000.0,80936075000.0,79236415000.0,78523290000.0,81507170000.0,84848970000.0,85782300000.0,90157200000.0,93042240000.0,96577840000.0,99475180000.0,105046000000.0,112609000000.0,117451000000.0,124381000000.0,126495000000.0,130796000000.0,133935000000.0,136078000000.0,140977000000.0,145065000000.0,149998000000.0,154198000000.0,160057000000.0,165979000000.0,171291000000.0,173517000000.0,175600000000.0,177356000000.0,168310000000.0,174033000000.0,179602000000.0
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744923650.0,752116030.0,755198460.0,752116030.0,721291600.0,734648800.0,715126700.0,685329800.0,687384700.0,687384700.0,657587800.0,641148100.0,652450370.0,673000000.0,661697700.0,615461060.0,631900740.0,628818300.0,656560300.0,651422900.0,662725200.0
Andorra,AND,,,,,,,,,,,859122100.0,899066700.0,972338370.0,1048068600.0,1106957300.0,1112959400.0,1149729200.0,1182365000.0,1199663100.0,1200161700.0,1226670000.0,1225044900.0,1240314600.0,1262269700.0,1284797200.0,1314623000.0,1357391900.0,1432688000.0,1505673900.0,1578353200.0,1638036900.0,1679741300.0,1695349800.0,1677862500.0,1717849000.0,1765218700.0,1847296800.0,2014803600.0,2079172400.0,2164399400.0,2240767200.0,2422703000.0,2532847900.0,2753058800.0,2977038800.0,3137733400.0,3288617200.0,3339695600.0,3154035700.0,2986782000.0,2927794200.0,2927558000.0,2781928200.0,2683236600.0,2750437400.0,2789882600.0,2893378300.0,2903391500.0,2949519400.0,3008968400.0,2672447200.0,2893918200.0,3148860400.0
Angola,AGO,,,,,,,,,,,,,,,,,,,,,23063261000.0,22048480000.0,22048480000.0,22974515000.0,24352985000.0,25205340000.0,25936296000.0,26995210000.0,28649716000.0,28661641000.0,27672785000.0,27947123000.0,26315491000.0,20004137000.0,20272065000.0,23312876000.0,26470457000.0,28395991000.0,29728088000.0,30376604000.0,31304495000.0,32621162000.0,37079070000.0,38187733000.0,42369290000.0,48737395000.0,54366560000.0,61983320000.0,68906850000.0,69499450000.0,72556300000.0,75075490000.0,81488520000.0,85525960000.0,89650500000.0,90496420000.0,88161510000.0,88031780000.0,86872965000.0,86262880000.0,81399190000.0,82375344000.0,84884005000.0
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,390208640.0,407313950.0,440223870.0,476152450.0,494317250.0,493901950.0,520394940.0,573293060.0,617114430.0,688044500.0,733636860.0,771883300.0,812424770.0,836892700.0,855108300.0,865014500.0,910686300.0,971490100.0,929137150.0,990501600.0,1044698000.0,1094123900.0,1134689900.0,1205079600.0,1150272500.0,1162090900.0,1232705900.0,1303796400.0,1388202000.0,1564616700.0,1710366800.0,1710121500.0,1505544800.0,1387501200.0,1360325400.0,1379904100.0,1386609500.0,1417273700.0,1437755500.0,1496700200.0,1533568900.0,1640200800.0,1691054300.0,1371776500.0,1484148600.0,1625386000.0
Argentina,ARG,150798000000.0,158983000000.0,157628000000.0,149261000000.0,164382000000.0,181756000000.0,180557000000.0,186320000000.0,195305000000.0,214210000000.0,220734000000.0,233224000000.0,237021000000.0,243686000000.0,257171000000.0,257098000000.0,251909000000.0,269377000000.0,257238000000.0,283535000000.0,287842000000.0,272903000000.0,270896000000.0,282677000000.0,287117000000.0,272219000000.0,288969000000.0,296785000000.0,293551000000.0,272541000000.0,265817000000.0,290095000000.0,313120000000.0,338818000000.0,358592000000.0,348389000000.0,367644000000.0,397464000000.0,412767000000.0,398793000000.0,395646000000.0,378203000000.0,336999000000.0,366780000000.0,399899000000.0,435297000000.0,470326000000.0,512691000000.0,533492000000.0,501917000000.0,552738000000.0,585924000000.0,579910000000.0,593859000000.0,578938000000.0,594749000000.0,582377000000.0,598791000000.0,583118000000.0,571451000000.0,514874000000.0,570059000000.0,598313000000.0
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839777300.0,5156523000.0,3001096400.0,2737000000.0,2884798000.0,3083849000.0,3264729000.0,3373153300.0,3619393500.0,3738833700.0,3959424800.0,4339529700.0,4912347600.0,5600076300.0,6188084000.0,7048228000.0,7978594000.0,9071661000.0,9697606000.0,8330243600.0,8513509000.0,8913644000.0,9555426000.0,9870755000.0,10226102000.0,10553338000.0,10574445000.0,11367527000.0,11958639000.0,12867496000.0,11941036000.0,12633616000.0,14225451000.0
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,1040067800.0,1207294300.0,1432438500.0,1606191000.0,1669818600.0,1802784100.0,1908830300.0,2048321800.0,2216364000.0,2272818200.0,2299768800.0,2461830700.0,2510870000.0,2541955600.0,2735726800.0,2850135000.0,2823202600.0,2854554400.0,3062758000.0,3051023000.0,3085420800.0,3180746200.0,3239137000.0,2860878800.0,2782678000.0,2876433200.0,2846495200.0,3029567000.0,2981500700.0,2962907100.0,3013858000.0,3226291000.0,3303132400.0,3227066600.0,2453132800.0,3131163000.0,3458630000.0
