year,Sector_Name,sector,value,Main.Sector
2015,Agriculture,p1,97539,Agriculture
2015,Crops,p1.1,63852,Agriculture
2015,Livestock,p1.2,12694,Agriculture
2015,Forestry and logging,p1.3,8810,Agriculture
2015,Fishing,p1.4,12181,Agriculture
2015,Mining and quarrying,p2,103059,Mining and quarrying
2015,Crude oil and condensate,p2.1,46526,Mining and quarrying
2015,Natural gas ,p2.2,49119,Mining and quarrying
2015,Other mining & quarrying and supporting services,p2.3,7414,Mining and quarrying
2015,Manufacturing,p3,262379,Manufacturing
2015,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,32738,Manufacturing
2015,"Tekstil, pakaian dan produk kulit",p3.2,4923,Manufacturing
2015,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,13858,Manufacturing
2015,"Produk petroleum, kimia, getah dan plastik",p3.4,78307,Manufacturing
2015,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,31572,Manufacturing
2015,"Produk elektrik, elektronik dan optikal",p3.6,70245,Manufacturing
2015,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,30738,Manufacturing
2015,Construction,p4,55382,Construction
2015,Buildings,p4.1,30606,Construction
2015,Civil engineering,p4.2,15373,Construction
2015,Specialised construction activities,p4.3,9402,Construction
2015,Services,p5,643883,Services
2015,"Utilities, transportation & storage and information & communication",p5.1,136070,Services
2015,"Wholesale and retail trade, food & beverage and accommodation",p5.2,220242,Services
2015,"Finance and insurance, real estate and business services",p5.3,130064,Services
2015,Other services,p5.4,57724,Services
2015,Government services,p5.5,99783,Services
2015,Import duties,p6,14699,Import duties
2016,Agriculture,p1,93977,Agriculture
2016,Crops,p1.1,59748,Agriculture
2016,Livestock,p1.2,13154,Agriculture
2016,Forestry and logging,p1.3,8642,Agriculture
2016,Fishing,p1.4,12433,Agriculture
2016,Mining and quarrying,p2,105368,Mining and quarrying
2016,Crude oil and condensate,p2.1,46821,Mining and quarrying
2016,Natural gas ,p2.2,50607,Mining and quarrying
2016,Other mining & quarrying and supporting services,p2.3,7940,Mining and quarrying
2016,Manufacturing,p3,273899,Manufacturing
2016,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,33679,Manufacturing
2016,"Tekstil, pakaian dan produk kulit",p3.2,5264,Manufacturing
2016,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,14452,Manufacturing
2016,"Produk petroleum, kimia, getah dan plastik",p3.4,81717,Manufacturing
2016,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,32907,Manufacturing
2016,"Produk elektrik, elektronik dan optikal",p3.6,75556,Manufacturing
2016,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,30325,Manufacturing
2016,Construction,p4,59508,Construction
2016,Buildings,p4.1,31746,Construction
2016,Civil engineering,p4.2,17791,Construction
2016,Specialised construction activities,p4.3,9972,Construction
2016,Services,p5,680561,Services
2016,"Utilities, transportation & storage and information & communication",p5.1,145176,Services
2016,"Wholesale and retail trade, food & beverage and accommodation",p5.2,234538,Services
2016,"Finance and insurance, real estate and business services",p5.3,135688,Services
2016,Other services,p5.4,60538,Services
2016,Government services,p5.5,104620,Services
2016,Import duties,p6,16000,Import duties
2017,Agriculture,p1,99509,Agriculture
2017,Crops,p1.1,66092,Agriculture
2017,Livestock,p1.2,13827,Agriculture
2017,Forestry and logging,p1.3,7266,Agriculture
2017,Fishing,p1.4,12325,Agriculture
2017,Mining and quarrying,p2,105838,Mining and quarrying
2017,Crude oil and condensate,p2.1,45807,Mining and quarrying
2017,Natural gas ,p2.2,51492,Mining and quarrying
2017,Other mining & quarrying and supporting services,p2.3,8539,Mining and quarrying
2017,Manufacturing,p3,290464,Manufacturing
2017,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,37019,Manufacturing
2017,"Tekstil, pakaian dan produk kulit",p3.2,5682,Manufacturing
2017,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,15088,Manufacturing
2017,"Produk petroleum, kimia, getah dan plastik",p3.4,84999,Manufacturing
2017,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,34517,Manufacturing
2017,"Produk elektrik, elektronik dan optikal",p3.6,81217,Manufacturing
2017,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,31942,Manufacturing
2017,Construction,p4,63522,Construction
2017,Buildings,p4.1,32525,Construction
2017,Civil engineering,p4.2,20253,Construction
2017,Specialised construction activities,p4.3,10743,Construction
2017,Services,p5,723361,Services
2017,"Utilities, transportation & storage and information & communication",p5.1,154721,Services
2017,"Wholesale and retail trade, food & beverage and accommodation",p5.2,251632,Services
2017,"Finance and insurance, real estate and business services",p5.3,143664,Services
2017,Other services,p5.4,63648,Services
2017,Government services,p5.5,109694,Services
2017,Import duties,p6,18076,Import duties
2018,Agriculture,p1,99637,Agriculture
2018,Crops,p1.1,65842,Agriculture
